Name;Constitutional form;Head of state;Basis of executive legitimacy
 Afghanistan;Republic;Executive;Presidency is independent of legislature
 Albania;Republic;Ceremonial;Ministry is subject to parliamentary confidence
 Algeria;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence"
 Andorra;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Angola;Republic;Executive;Presidency is independent of legislature
 Antigua and Barbuda;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Argentina;Republic;Executive;Presidency is independent of legislature
 Armenia;Republic;Ceremonial;Ministry is subject to parliamentary confidence
 Australia;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Austria;Republic;Ceremonial;Ministry is subject to parliamentary confidence
 Azerbaijan;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence"
 Bahamas, The;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Bahrain;Constitutional monarchy;Executive;Monarch personally exercises power in concert with other institutions
 Bangladesh;Republic;Ceremonial;Ministry is subject to parliamentary confidence
 Barbados;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Belarus;Republic;Executive;Presidency is independent of legislature
 Belgium;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Belize;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Benin;Republic;Executive;Presidency is independent of legislature
 Bhutan;Constitutional monarchy;Executive;Monarch personally exercises power in concert with other institutions
 Bolivia;Republic;Executive;Presidency is independent of legislature
 Bosnia and Herzegovina;Republic;Ceremonial;Ministry is subject to parliamentary confidence
 Botswana;Republic;Executive;"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
 Brazil;Republic;Executive;Presidency is independent of legislature
 Brunei;Absolute monarchy;Executive;All authority vested in absolute monarch
 Bulgaria;Republic;Ceremonial;Ministry is subject to parliamentary confidence
 Burkina Faso;Republic;Executive;"Presidency independent of legislature; ministry is subject to parliamentary confidence"
 Burundi;Republic;Executive;Presidency is independent of legislature
 Cambodia;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
 Cameroon;Republic;Executive;Presidency is independent of legislature
 Canada;Constitutional monarchy;Ceremonial;Ministry is subject to parliamentary confidence
